"","SAMD_1","SAMP_1","SAMD_2","SAMP_2","SAMD_3","SAMP_3"
"ACSF2",-0.286860610488721,0.775546327257038,-1.11756635121949,0.268253694315608,1.17847953051336,0.236166540826232
"ACSL3",2.1481902032964,0.033581059216913,0.178877179539431,0.859736813720203,-2.07574791761231,0.0366530039909395
"ACSL4",4.03672164717218,9.92341710710819e-05,-4.67661244764476,8.62905835400712e-06,1.36873650128461,0.169205047999137
"ACSL5",-2.51276419537651,0.0133092438787617,-9.38632305190151,0,11.2086889914186,0
"ACSL6",-2.13376928498104,0.0347567684176464,2.53003663432524,0.0128130730234063,-0.622251011141458,0.532574695286377
"ACSM1",-2.18832129125248,0.030554416999245,-0.645880048063829,0.522160500485385,2.3853767107433,0.016109373314637
"ACSM3",-6.12607145209037,0,3.10741462828129,0.00235465429834969,1.80494600733136,0.0695955128896559
"ACSM5",0.077357495832972,0.938337827634559,-2.60627835479123,0.0103915435228131,2.22351186290578,0.0249832811994391
"ACSS3",-0.0903921537884053,0.92797756444828,-1.8993503898826,0.0606299212598425,1.64198530251053,0.0989267608672204
"ACTA2",20.9650867802867,0,-7.44202569610993,0,-7.89887044398347,0
"ACTB",6.09870323578105,0,-4.35304145710085,3.23589688275267e-05,-0.535286506208748,0.591434580951354
"ACTC1",4.06620032195872,8.95264804228239e-05,1.87203920615126,0.0644752453888469,-5.98628292661821,0
"ACTG2",14.5225613551535,0,-5.66863559397286,0,-9.19298910172528,0
"ACTL7A",-1.78972113107781,0.0765494552906914,0.392357680685393,0.697735950814367,1.33610500508601,0.179526480422824
"ACTL8",-2.97114887864067,0.00351526264696365,2.19633805407867,0.0305263725595944,0.142274231183614,0.886160069032467
"ACTN1",9.89372306416628,0,-2.37810254517082,0.0191219933124798,-5.44203976813532,0
"ACTN2",-2.39759908953826,0.0180088447848129,3.84776435417173,0.000201704239024916,-2.09637004501918,0.0348074641354762
"ACTN4",1.98573917643804,0.0494207744579873,-1.03608411038586,0.304835508575127,-0.742013883266129,0.456806169776723
"ACTR10",0.227004542220016,0.821662172365441,3.08409892807,0.00255527990508036,-2.97269230527823,0.00274943371804552
"ACTR1A",5.17058664313412,0,2.12122008770499,0.0365354330708661,-6.51515321055002,0
"ACTR1B",-5.85714858788663,0,4.28140391178227,4.53025563585374e-05,0.55608502162636,0.577131916729587
"ACTR3",6.17215427841075,0,-5.43046580724676,0,-0.155597465070878,0.875715672527235
"ACTR5",-2.42825866687876,0.0166130945960522,3.0475346850908,0.00286484737353036,-0.936444700342895,0.347435012404271
"ACTR8",-4.18852114727555,6.14820407723007e-05,4.25148696584529,5.50102470067954e-05,-0.361392925595919,0.717177219285945
"ACVR1",6.20210449490078,0,-3.51138805792031,0.000663358860964297,-1.86655710609821,0.0605554956315392
"ACVR2A",2.36155408424227,0.0198220256714486,4.29554220863219,4.53025563585374e-05,-6.42943204645394,0
"ACVR2B",-6.43851921128923,0,8.88591617438036,0,-3.67788969963051,0.000195232445259411
"ACVRL1",2.13797036374441,0.0344040556574264,-2.82577198173965,0.0055700571675116,0.472617944575174,0.635783626361773
"ACYP2",-4.53468607978686,1.29435875310107e-05,0.275959709671519,0.785100852119512,3.42566849173313,0.000527451191888685
"ADA",1.82416452083479,0.0711142271599612,0.405031494405992,0.68846726350987,-1.88448026837895,0.0581544601445367
"ADAM10",4.83900254453408,3.23589688275267e-06,-2.76545950016959,0.00668644159206127,-1.61767486756252,0.104076151439974
"ADAM11",-2.75674709267364,0.00671340739941754,2.72070202859725,0.00760327904217452,-0.248485817584708,0.802975946499838
"ADAM12",22.5661343158884,0,-10.7649557515574,0,-11.1833647074996,0
"ADAM15",-3.82776923954043,0.000209254665084673,-2.10103057051799,0.0383615575450329,5.03338019657846,2.15726458850178e-06
"ADAM17",1.92864570751294,0.0563855031819653,0.568009145009766,0.57339769172689,-2.31297367147601,0.0195944342573617
"ADAM18",-2.53924145907311,0.0123535756660554,2.65479553026033,0.00910042066659476,-0.111505728161157,0.910458418725057
"ADAM19",12.1974609962608,0,-9.89496892736294,0,-4.56423098979891,4.31452917700356e-06
"ADAM2",-1.73275127754973,0.0864858159853306,3.39680460500432,0.000978319490885557,-1.73312923702161,0.0814992988890087
"ADAM20",-2.63407862862978,0.00949951461546759,0.731220632223757,0.468521195124582,1.56355367476577,0.116307841656779
