"","Dataset","ClusterK2_kmeans","ClusterK3_kmeans","ClusterK4_kmeans","ClusterK2_NMF","ClusterK3_NMF","ClusterK4_NMF"
"TCGA.61.1918","TCGA",2,3,4,2,3,4
"TCGA.24.1928","TCGA",2,1,1,2,1,1
"TCGA.25.1871","TCGA",1,2,2,1,2,2
"TCGA.30.1866","TCGA",1,3,4,1,3,3
"TCGA.31.1946","TCGA",2,1,1,2,1,3
"TCGA.57.1993","TCGA",2,3,4,1,3,3
"TCGA.61.1919","TCGA",2,1,1,2,1,1
"TCGA.24.1930","TCGA",2,1,3,2,1,3
"TCGA.25.1877","TCGA",1,2,2,1,2,2
"TCGA.31.1950","TCGA",2,3,3,2,3,3
"TCGA.04.1517","TCGA",1,2,4,1,2,4
"TCGA.24.1556","TCGA",2,3,3,2,3,3
"TCGA.36.1571","TCGA",1,2,2,1,2,2
"TCGA.57.1582","TCGA",1,2,4,1,2,2
"TCGA.25.1628","TCGA",2,1,1,2,1,1
"TCGA.25.1634","TCGA",1,2,2,1,2,2
"TCGA.36.1576","TCGA",2,1,1,2,1,1
"TCGA.24.1557","TCGA",1,3,4,1,3,4
"TCGA.09.1659","TCGA",2,3,4,2,3,4
"TCGA.25.1625","TCGA",2,3,3,2,3,4
"TCGA.09.1661","TCGA",1,2,2,1,2,4
"TCGA.09.1662","TCGA",2,3,4,2,3,4
"TCGA.04.1525","TCGA",1,3,4,1,3,4
"TCGA.24.1558","TCGA",1,2,4,1,2,2
"TCGA.36.1575","TCGA",1,2,2,1,2,2
"TCGA.57.1584","TCGA",2,3,4,2,3,4
"TCGA.25.1631","TCGA",1,3,4,1,3,4
"TCGA.09.1665","TCGA",1,3,4,1,3,3
"TCGA.04.1536","TCGA",2,3,4,2,3,4
"TCGA.36.1578","TCGA",2,3,3,2,3,3
"TCGA.25.1627","TCGA",1,2,4,1,2,2
"TCGA.04.1519","TCGA",1,2,2,1,2,4
"TCGA.25.1630","TCGA",2,3,3,2,3,3
"TCGA.24.1560","TCGA",1,2,4,1,3,2
"TCGA.24.1544","TCGA",1,2,2,1,2,2
"TCGA.24.1567","TCGA",1,2,2,1,2,2
"TCGA.36.1577","TCGA",1,2,2,1,2,2
"TCGA.25.1623","TCGA",2,1,1,2,1,1
"TCGA.25.1633","TCGA",2,1,1,2,1,1
"TCGA.09.1667","TCGA",2,3,3,2,3,3
"TCGA.24.1545","TCGA",2,1,1,2,1,1
"TCGA.36.1568","TCGA",2,3,4,2,3,4
"TCGA.57.1583","TCGA",1,2,4,1,2,4
"TCGA.36.1581","TCGA",2,3,3,2,3,3
"TCGA.09.1666","TCGA",2,3,4,2,3,3
"TCGA.25.1632","TCGA",1,2,2,1,2,4
"TCGA.24.1546","TCGA",2,1,1,2,1,1
"TCGA.36.1569","TCGA",2,1,1,2,1,1
"TCGA.36.1580","TCGA",2,1,1,2,1,1
"TCGA.25.1626","TCGA",2,1,1,2,1,1
"TCGA.25.1635","TCGA",2,1,1,2,1,1
"TCGA.09.1669","TCGA",1,2,2,1,2,2
"TCGA.24.1548","TCGA",1,2,2,1,2,2
"TCGA.36.1570","TCGA",1,3,4,1,3,4
"TCGA.57.1585","TCGA",2,1,1,2,1,1
"TCGA.09.1668","TCGA",2,1,1,2,1,3
"TCGA.36.1574","TCGA",2,1,3,2,3,3
"TCGA.29.2434","TCGA",1,2,2,1,2,2
"TCGA.23.2643","TCGA",1,2,2,1,2,2
"TCGA.29.2436","TCGA",2,3,3,2,3,3
"TCGA.23.2645","TCGA",2,3,3,2,3,3
"TCGA.42.2582","TCGA",1,2,2,1,2,2
"TCGA.13.2059","TCGA",2,1,1,2,1,1
"TCGA.36.2530","TCGA",2,1,1,2,1,1
"TCGA.36.2542","TCGA",1,2,2,1,2,2
"TCGA.42.2587","TCGA",1,2,2,1,2,2
"TCGA.23.2649","TCGA",2,1,1,2,1,1
"TCGA.36.2543","TCGA",2,3,3,2,3,3
"TCGA.59.2372","TCGA",2,3,3,2,3,3
"TCGA.13.2065","TCGA",2,1,1,2,1,1
"TCGA.29.2429","TCGA",2,1,1,2,1,1
"TCGA.36.2533","TCGA",1,2,4,1,2,2
"TCGA.42.2589","TCGA",2,3,3,1,3,3
"TCGA.29.2431","TCGA",1,3,4,1,3,2
"TCGA.36.2534","TCGA",2,3,4,2,1,4
"TCGA.36.2545","TCGA",2,3,3,2,3,3
"TCGA.61.2612","TCGA",2,3,4,2,3,4
"TCGA.23.1114","TCGA",1,2,2,1,2,2
"TCGA.29.1691","TCGA",1,3,3,1,2,2
"TCGA.29.1701","TCGA",2,1,3,2,1,3
"TCGA.30.1718","TCGA",2,1,1,2,1,3
"TCGA.29.1771","TCGA",2,3,4,2,3,4
"TCGA.57.1586","TCGA",1,3,4,1,3,4
"TCGA.20.1683","TCGA",1,2,2,1,2,2
"TCGA.29.1693","TCGA",2,1,1,2,1,1
"TCGA.29.1702","TCGA",1,2,2,1,2,2
"TCGA.29.1761","TCGA",2,3,3,2,3,3
"TCGA.29.1781","TCGA",2,3,3,2,3,3
"TCGA.04.1655","TCGA",1,2,2,1,2,4
"TCGA.20.1684","TCGA",1,2,2,1,2,2
"TCGA.29.1703","TCGA",1,3,4,1,3,4
"TCGA.29.1762","TCGA",1,2,2,1,2,2
"TCGA.29.1783","TCGA",2,3,4,2,1,4
"TCGA.09.1670","TCGA",2,3,4,1,3,4
"TCGA.20.1685","TCGA",1,3,4,1,3,3
"TCGA.29.1695","TCGA",2,1,1,2,1,1
"TCGA.29.1705","TCGA",2,1,1,2,1,1
"TCGA.29.1763","TCGA",1,2,4,1,2,4
"TCGA.29.1784","TCGA",2,3,3,2,3,3
"TCGA.20.1686","TCGA",1,3,4,1,3,2
"TCGA.29.1696","TCGA",2,3,4,1,3,3
"TCGA.29.1707","TCGA",2,3,3,2,3,3
"TCGA.29.1764","TCGA",2,1,1,2,1,1
"TCGA.29.1785","TCGA",2,3,3,2,3,3
"TCGA.09.1673","TCGA",1,2,2,1,2,2
"TCGA.20.1687","TCGA",2,3,4,2,3,4
"TCGA.29.1697","TCGA",1,2,2,1,2,2
"TCGA.29.1710","TCGA",2,1,1,2,1,1
"TCGA.29.1766","TCGA",2,1,1,2,1,1
"TCGA.23.1809","TCGA",1,2,2,1,2,2
"TCGA.09.1674","TCGA",1,2,2,1,2,2
"TCGA.29.1688","TCGA",2,3,3,2,3,3
"TCGA.29.1698","TCGA",2,1,1,2,1,1
"TCGA.29.1711","TCGA",2,3,3,2,3,3
"TCGA.29.1768","TCGA",2,1,1,2,1,1
"TCGA.24.1847","TCGA",2,3,3,2,3,3
"TCGA.09.1675","TCGA",1,3,4,1,3,4
"TCGA.29.1690","TCGA",2,1,1,2,1,1
"TCGA.29.1699","TCGA",2,3,3,2,3,3
"TCGA.30.1714","TCGA",1,2,4,1,2,2
"TCGA.29.1770","TCGA",2,1,1,2,1,1
"TCGA.04.1638","TCGA",1,3,4,1,2,4
"TCGA.30.1856","TCGA",2,3,3,2,3,3
"TCGA.61.1738","TCGA",2,3,3,2,3,3
"TCGA.29.1778","TCGA",1,3,4,1,3,4
"TCGA.24.1849","TCGA",2,1,1,2,1,1
"TCGA.61.1906","TCGA",2,3,3,2,3,3
"TCGA.04.1646","TCGA",1,2,2,1,2,2
"TCGA.30.1857","TCGA",2,1,1,2,1,1
"TCGA.61.1740","TCGA",2,3,3,2,3,3
"TCGA.23.1029","TCGA",1,3,4,1,3,4
"TCGA.24.1850","TCGA",2,1,1,2,1,2
"TCGA.61.1907","TCGA",2,3,3,2,3,3
"TCGA.04.1648","TCGA",2,3,4,1,3,4
"TCGA.61.1722","TCGA",2,1,3,2,1,3
"TCGA.61.1741","TCGA",1,2,2,1,2,2
"TCGA.23.1111","TCGA",1,2,4,1,2,4
"TCGA.61.1895","TCGA",2,1,3,2,1,3
"TCGA.61.1910","TCGA",1,3,4,1,3,4
"TCGA.04.1649","TCGA",2,3,4,1,3,4
"TCGA.61.1725","TCGA",2,1,3,2,1,3
"TCGA.29.1769","TCGA",2,1,3,2,1,3
"TCGA.24.1842","TCGA",2,3,3,2,3,3
"TCGA.61.1899","TCGA",1,3,4,1,3,4
"TCGA.61.1911","TCGA",2,3,3,2,3,3
"TCGA.04.1651","TCGA",2,3,4,1,3,4
"TCGA.61.1727","TCGA",2,3,3,2,3,3
"TCGA.29.1774","TCGA",1,2,2,1,2,2
"TCGA.24.1843","TCGA",2,3,3,2,3,3
"TCGA.61.1900","TCGA",1,2,2,1,2,2
"TCGA.61.1913","TCGA",2,3,3,2,3,3
"TCGA.04.1652","TCGA",1,2,4,1,2,4
"TCGA.61.1730","TCGA",1,2,2,1,2,2
"TCGA.29.1775","TCGA",1,2,2,1,2,2
"TCGA.24.1844","TCGA",1,2,4,1,2,2
"TCGA.61.1901","TCGA",2,3,4,2,3,4
"TCGA.61.1914","TCGA",2,3,3,2,3,3
"TCGA.61.1733","TCGA",2,1,1,1,1,1
"TCGA.29.1776","TCGA",2,1,1,2,1,4
"TCGA.24.1845","TCGA",2,3,4,2,3,4
"TCGA.61.1903","TCGA",2,3,3,2,3,3
"TCGA.61.1915","TCGA",2,3,3,2,3,3
"TCGA.30.1855","TCGA",2,1,1,2,1,1
"TCGA.61.1737","TCGA",2,1,1,2,1,1
"TCGA.29.1777","TCGA",2,1,3,2,1,3
"TCGA.24.1846","TCGA",2,3,3,2,3,3
"TCGA.61.1904","TCGA",2,3,4,2,3,4
"TCGA.13.0807","TCGA",2,1,1,2,1,4
"TCGA.13.0891","TCGA",1,3,4,1,3,4
"TCGA.13.0912","TCGA",1,2,4,1,2,4
"TCGA.13.0923","TCGA",1,3,4,1,3,3
"TCGA.10.0934","TCGA",1,3,4,1,3,2
"TCGA.13.0883","TCGA",1,3,4,1,2,4
"TCGA.13.0897","TCGA",2,1,3,2,1,3
"TCGA.13.0913","TCGA",1,2,2,1,2,2
"TCGA.13.0924","TCGA",2,1,3,2,3,3
"TCGA.10.0935","TCGA",1,2,2,1,2,2
"TCGA.13.0885","TCGA",2,3,3,2,3,3
"TCGA.13.0899","TCGA",1,2,2,1,2,2
"TCGA.10.0926","TCGA",1,2,2,1,2,2
"TCGA.10.0936","TCGA",1,3,4,1,3,4
"TCGA.13.0886","TCGA",2,1,1,2,1,1
"TCGA.13.0916","TCGA",1,3,3,1,3,2
"TCGA.10.0927","TCGA",1,2,2,1,2,2
"TCGA.10.0937","TCGA",2,3,4,2,3,3
"TCGA.13.0887","TCGA",2,3,4,1,3,3
"TCGA.13.0904","TCGA",1,3,4,1,3,4
"TCGA.13.0919","TCGA",2,1,1,2,1,1
"TCGA.10.0928","TCGA",1,2,2,1,2,2
"TCGA.10.0938","TCGA",1,2,2,1,2,2
"TCGA.13.0888","TCGA",1,2,2,1,2,2
"TCGA.13.0906","TCGA",1,2,2,1,2,2
"TCGA.13.0920","TCGA",1,2,2,1,2,2
"TCGA.10.0930","TCGA",2,1,1,2,1,1
"TCGA.24.0966","TCGA",1,3,4,1,3,4
"TCGA.13.0910","TCGA",1,3,4,1,2,4
"TCGA.13.0921","TCGA",2,3,4,2,3,4
"TCGA.10.0931","TCGA",1,3,4,1,3,4
"TCGA.13.0890","TCGA",2,1,1,2,1,1
"TCGA.13.0911","TCGA",2,1,1,2,1,1
"TCGA.10.0933","TCGA",1,2,2,1,2,2
"TCGA.24.0980","TCGA",2,3,3,2,3,4
"TCGA.13.0903","TCGA",2,3,4,2,3,4
"TCGA.24.1416","TCGA",2,3,4,1,3,4
"TCGA.24.1427","TCGA",2,1,1,2,1,1
"TCGA.24.1464","TCGA",1,3,4,1,3,4
"TCGA.13.1484","TCGA",2,3,3,2,3,4
"TCGA.13.1495","TCGA",2,3,4,1,3,4
"TCGA.13.1505","TCGA",1,1,1,1,1,1
"TCGA.24.1417","TCGA",2,1,3,2,1,3
"TCGA.24.1428","TCGA",2,3,3,2,3,3
"TCGA.24.1466","TCGA",2,3,4,1,3,4
"TCGA.13.1485","TCGA",2,1,1,2,1,1
"TCGA.13.1496","TCGA",2,3,3,2,3,3
"TCGA.13.1506","TCGA",1,3,3,1,3,3
"TCGA.24.1418","TCGA",2,1,1,2,1,1
"TCGA.24.1430","TCGA",1,2,2,1,2,2
"TCGA.24.1467","TCGA",1,3,4,1,3,4
"TCGA.13.1497","TCGA",2,3,3,2,3,3
"TCGA.13.1507","TCGA",2,1,3,2,1,3
"TCGA.24.1419","TCGA",1,2,2,1,2,2
"TCGA.24.1431","TCGA",2,3,4,2,3,4
"TCGA.13.1477","TCGA",1,2,2,1,2,4
"TCGA.13.1488","TCGA",2,3,3,2,3,3
"TCGA.13.1498","TCGA",2,3,3,2,3,3
"TCGA.13.1509","TCGA",2,1,1,2,1,1
"TCGA.24.1422","TCGA",2,1,1,2,1,1
"TCGA.24.1434","TCGA",2,1,1,2,1,1
"TCGA.13.1489","TCGA",1,2,4,1,2,2
"TCGA.13.1499","TCGA",2,1,1,2,1,1
"TCGA.13.1510","TCGA",2,3,4,1,3,4
"TCGA.24.1423","TCGA",2,3,4,1,3,4
"TCGA.24.1435","TCGA",2,1,1,2,1,3
"TCGA.13.1481","TCGA",2,1,1,2,1,1
"TCGA.13.1491","TCGA",1,2,4,1,2,4
"TCGA.13.1500","TCGA",2,3,4,2,3,4
"TCGA.13.1511","TCGA",2,3,3,2,3,3
"TCGA.24.1424","TCGA",1,2,2,1,2,2
"TCGA.24.1436","TCGA",2,3,3,2,3,4
"TCGA.13.1482","TCGA",2,3,4,2,3,4
"TCGA.13.1492","TCGA",1,2,2,1,2,2
"TCGA.13.1501","TCGA",2,1,1,2,1,1
"TCGA.13.1512","TCGA",2,1,1,2,1,3
"TCGA.24.1426","TCGA",1,2,2,1,2,2
"TCGA.24.1463","TCGA",2,1,1,2,1,1
"TCGA.13.1483","TCGA",2,1,1,2,1,1
