"","ClusterK2","ClusterK3","ClusterK4"
"GSM249890",2,1,1
"GSM249891",1,3,3
"GSM249893",2,3,3
"GSM249894",1,2,2
"GSM249895",2,1,1
"GSM249896",2,1,1
"GSM249897",2,3,3
"GSM249898",1,2,4
"GSM249899",1,3,3
"GSM249900",1,2,2
"GSM249902",1,2,2
"GSM249903",2,3,3
"GSM249904",1,3,3
"GSM249905",1,3,3
"GSM249906",2,3,4
"GSM249907",2,1,1
"GSM249909",2,1,1
"GSM249911",2,1,1
"GSM249912",1,3,4
"GSM249913",1,2,3
"GSM249914",2,1,1
"GSM249915",2,1,1
"GSM249916",1,2,2
"GSM249917",2,1,1
"GSM249918",1,2,4
"GSM249919",1,3,2
"GSM249920",1,2,2
"GSM249921",1,3,4
"GSM249922",1,2,2
"GSM249923",2,1,1
"GSM249924",1,3,4
"GSM249925",2,1,1
"GSM249926",2,3,3
"GSM249927",2,3,1
"GSM249928",1,2,2
"GSM249929",1,2,2
"GSM249930",1,2,4
"GSM249931",2,1,1
"GSM249932",1,3,4
"GSM249933",2,3,4
"GSM249934",1,3,4
"GSM249935",2,1,1
"GSM249936",1,3,4
"GSM249937",1,2,2
"GSM249938",2,3,3
"GSM249939",1,3,4
"GSM249940",1,2,2
"GSM249941",1,2,2
"GSM249942",1,2,2
"GSM249943",1,3,4
"GSM249944",1,3,4
"GSM249945",2,1,1
"GSM249947",2,1,1
"GSM249949",2,3,3
"GSM249950",2,1,2
"GSM249951",2,1,1
"GSM249953",1,2,2
"GSM249954",1,3,4
"GSM249955",2,3,4
"GSM249956",2,1,1
"GSM249957",2,1,1
"GSM249958",1,3,3
"GSM249959",1,2,4
"GSM249960",2,3,3
"GSM249961",1,3,4
"GSM249962",2,3,4
"GSM249963",2,3,1
"GSM249964",2,3,1
"GSM249965",2,3,3
"GSM249967",1,3,3
"GSM249968",1,3,3
"GSM249969",2,1,4
"GSM249970",1,2,2
"GSM249971",1,2,4
"GSM249972",1,2,4
"GSM249973",1,3,4
"GSM249975",2,3,3
"GSM249976",1,2,4
"GSM249979",2,1,1
"GSM249980",1,2,2
"GSM249981",1,3,3
"GSM249982",2,1,1
"GSM249983",1,3,4
"GSM249984",2,3,1
"GSM249986",1,3,4
"GSM249987",1,2,4
"GSM249988",2,1,1
"GSM249989",2,3,1
"GSM249990",2,1,1
"GSM249991",1,2,2
"GSM249992",2,1,1
"GSM249993",2,3,3
"GSM249994",2,3,4
"GSM249996",1,3,4
"GSM249997",2,1,1
"GSM249998",1,3,4
"GSM249999",1,2,2
"GSM250000",2,1,1
"GSM250001",2,1,1
