"","ClusterK2","ClusterK3","ClusterK4"
"TCGA.61.1730",1,2,2
"TCGA.29.1775",1,2,2
"TCGA.24.1844",1,2,2
"TCGA.61.1901",2,3,4
"TCGA.61.1914",2,3,3
"TCGA.61.1733",1,1,1
"TCGA.29.1776",2,1,4
"TCGA.24.1845",2,3,4
"TCGA.61.1903",2,3,3
"TCGA.61.1915",2,3,3
"TCGA.30.1855",2,1,1
"TCGA.61.1737",2,1,1
"TCGA.29.1777",2,1,3
"TCGA.24.1846",2,3,3
"TCGA.61.1904",2,3,4
"TCGA.13.0807",2,1,4
"TCGA.13.0891",1,3,4
"TCGA.13.0912",1,2,4
"TCGA.13.0923",1,3,3
"TCGA.10.0934",1,3,2
"TCGA.13.0883",1,2,4
"TCGA.13.0897",2,1,3
"TCGA.13.0913",1,2,2
"TCGA.13.0924",2,3,3
"TCGA.10.0935",1,2,2
"TCGA.13.0885",2,3,3
"TCGA.13.0899",1,2,2
"TCGA.10.0926",1,2,2
"TCGA.10.0936",1,3,4
"TCGA.13.0886",2,1,1
"TCGA.13.0916",1,3,2
"TCGA.10.0927",1,2,2
"TCGA.10.0937",2,3,3
"TCGA.13.0887",1,3,3
"TCGA.13.0904",1,3,4
"TCGA.13.0919",2,1,1
"TCGA.10.0928",1,2,2
"TCGA.10.0938",1,2,2
"TCGA.13.0888",1,2,2
"TCGA.13.0906",1,2,2
"TCGA.13.0920",1,2,2
"TCGA.10.0930",2,1,1
"TCGA.24.0966",1,3,4
"TCGA.13.0910",1,2,4
"TCGA.13.0921",2,3,4
"TCGA.10.0931",1,3,4
"TCGA.13.0890",2,1,1
"TCGA.13.0911",2,1,1
"TCGA.10.0933",1,2,2
"TCGA.24.0980",2,3,4
"TCGA.13.0903",2,3,4
"TCGA.24.1416",1,3,4
"TCGA.24.1427",2,1,1
"TCGA.24.1464",1,3,4
"TCGA.13.1484",2,3,4
"TCGA.13.1495",1,3,4
"TCGA.13.1505",1,1,1
"TCGA.24.1417",2,1,3
"TCGA.24.1428",2,3,3
"TCGA.24.1466",1,3,4
"TCGA.13.1485",2,1,1
"TCGA.13.1496",2,3,3
"TCGA.13.1506",1,3,3
"TCGA.24.1418",2,1,1
"TCGA.24.1430",1,2,2
"TCGA.24.1467",1,3,4
"TCGA.13.1497",2,3,3
"TCGA.13.1507",2,1,3
"TCGA.24.1419",1,2,2
"TCGA.24.1431",2,3,4
"TCGA.13.1477",1,2,4
"TCGA.13.1488",2,3,3
"TCGA.13.1498",2,3,3
"TCGA.13.1509",2,1,1
"TCGA.24.1422",2,1,1
"TCGA.24.1434",2,1,1
"TCGA.13.1489",1,2,2
"TCGA.13.1499",2,1,1
"TCGA.13.1510",1,3,4
"TCGA.24.1423",1,3,4
"TCGA.24.1435",2,1,3
"TCGA.13.1481",2,1,1
"TCGA.13.1491",1,2,4
"TCGA.13.1500",2,3,4
"TCGA.13.1511",2,3,3
"TCGA.24.1424",1,2,2
"TCGA.24.1436",2,3,4
"TCGA.13.1482",2,3,4
"TCGA.13.1492",1,2,2
"TCGA.13.1501",2,1,1
"TCGA.13.1512",2,1,3
"TCGA.24.1426",1,2,2
"TCGA.24.1463",2,1,1
"TCGA.13.1483",2,1,1
"TCGA.13.1494",2,1,1
"TCGA.13.1504",2,1,1
"TCGA.29.1692",2,1,3
"TCGA.13.1817",2,3,3
"TCGA.61.1916",2,3,4
