,Sample,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts
20,GSM249733,4.30368,4.885325,3.89636416666667,4.006410625,4.426713,5.439382,4.48882142857143,4.54033368421053,5.11890326530612,9.16283
21,GSM249734,4.49161625,4.429785,4.41932333333333,4.061613125,4.5600455,5.814365,4.69555142857143,4.86578315789474,5.0089912244898,8.53522055555556
22,GSM249735,4.95924875,4.411565,4.69030916666667,4.09789875,4.798629,6.361614,4.77038,4.55009368421053,5.36603795918367,8.72514888888889
23,GSM249736,4.68164708333333,4.061685,3.99195333333333,3.96759875,4.226099,6.714529,4.78579285714286,5.51873789473684,5.34885571428571,7.62236722222222
24,GSM249737,4.6261,4.296765,4.2137,4.067375625,4.48855,6.154251,4.82878285714286,4.65808263157895,5.57314632653061,9.19982111111111
25,GSM249738,4.55388416666667,4.41237,3.95756833333333,4.046839375,4.627971,5.675775,4.71138285714286,4.68801421052632,5.27246265306122,7.41738611111111
26,GSM249739,4.64708625,4.03136,4.0317775,4.09716875,4.239674,6.44595,5.06305857142857,4.54740315789474,5.3610093877551,8.93715388888889
27,GSM249740,4.5941675,4.03031,4.1023625,3.93750625,4.6536565,6.291104,4.44398857142857,4.52923052631579,5.30845530612245,9.54075666666667
28,GSM249741,4.57561166666667,4.1572,4.35164333333333,3.947968125,4.4328145,6.177206,4.559,4.60604105263158,5.21895571428571,9.17889555555556
29,GSM249742,4.40092,4.014335,3.90348833333333,3.96266,4.227964,6.3065,4.47128714285714,4.53417157894737,5.28123244897959,9.68318722222222
30,GSM249743,4.66470625,4.107705,4.057755,4.117085625,4.42,6.069056,4.70314571428571,4.71006842105263,5.57846183673469,9.83944611111111
31,GSM249744,4.52302708333333,4.192935,3.83984083333333,3.891950625,4.5021175,5.703256,4.56452714285714,4.59141578947368,5.30844857142857,6.77215166666667
32,GSM249745,4.75235333333333,4.424695,4.53249583333333,4.2227825,4.6362185,7.132501,4.80801,4.86308,5.27036224489796,9.24621222222222
33,GSM249746,4.618945,4.140815,4.510515,4.293753125,4.670108,5.919872,4.75065,4.71202263157895,4.80869163265306,7.04277111111111
34,GSM249747,4.90321208333333,4.452205,4.65084083333333,4.0820775,5.094885,7.237335,4.96077571428571,4.71980894736842,5.4058112244898,8.64436833333333
35,GSM249748,4.78712375,4.358715,4.50553,4.03479,4.8746395,6.888935,4.86913428571429,4.66241631578947,5.40777836734694,9.67842166666667
36,GSM249749,4.58201291666667,4.080725,4.93268666666667,4.110340625,4.62443,7.379932,4.92850142857143,4.63318894736842,5.27431795918367,7.997345
37,GSM249750,5.31964208333333,4.830915,5.21827666666667,4.08615625,4.2853375,7.640404,5.13022571428571,4.5788547368421,5.67154387755102,10.1833488888889
38,GSM249751,4.82119958333333,4.37025,5.07147333333333,4.203823125,4.7585455,6.830709,5.11864857142857,4.68004052631579,5.55532204081633,9.29394555555556
39,GSM249752,4.66534291666667,3.77811,4.01721833333333,3.964845,4.2618925,5.634341,4.64455571428571,4.60838,5.76201693877551,9.06221388888889
40,GSM249753,4.70840416666667,4.43715,4.54098416666667,4.067170625,4.909642,6.991312,5.01213,4.80792263157895,5.16532387755102,7.49201388888889
41,GSM249754,4.29328833333333,4.27608,3.93126666666667,3.9126725,4.4673305,6.165367,4.80496285714286,4.83748315789474,4.97220755102041,5.78086833333333
42,GSM249755,4.31995083333333,4.21484,3.93019166666667,3.9743725,4.348502,6.192683,4.28924285714286,4.57561210526316,4.93511897959184,8.83053944444444
43,GSM249756,4.77921375,4.44458,4.61090666666667,3.996816875,4.6610875,6.584119,5.00560428571429,4.74307473684211,4.92454408163265,7.64132
44,GSM249757,4.67934291666667,4.080625,4.21792083333333,3.920968125,4.1238125,6.682831,4.49006142857143,4.68737842105263,5.45655897959184,8.70521944444444
45,GSM249758,5.13678875,4.723115,4.99427083333333,4.047634375,4.7449625,6.555175,4.77227285714286,4.6754752631579,4.7991293877551,6.90244611111111
46,GSM249759,4.86544291666667,4.92947,4.76141833333333,4.192941875,5.3976345,7.094259,4.78574428571429,4.82019789473684,5.02768836734694,9.33856388888889
47,GSM249760,4.6505475,3.88094,4.079825,4.011580625,4.6544755,6.618144,5.54419857142857,5.03991736842105,5.01857469387755,7.88549944444444
48,GSM249761,4.62984125,4.30304,4.53040333333333,4.01755125,4.614926,6.554876,4.58664142857143,4.74953105263158,5.47473306122449,9.51250944444444
49,GSM249762,6.067605,4.923275,5.33501,4.13209125,4.893658,7.604874,5.71404285714286,4.6773152631579,4.94394530612245,8.37027666666667
50,GSM249763,4.93135125,4.65079,5.03549333333333,4.086925,4.8787165,6.950996,4.94974428571429,4.73539,4.96062265306122,7.42637166666667
51,GSM249764,4.91295416666667,4.831435,5.21274,4.0295275,4.885817,7.041757,4.75749142857143,4.72741789473684,5.12304510204082,9.07919222222222
52,GSM249765,4.98085625,4.40954,4.10609,3.9174975,5.030964,6.705915,4.67506285714286,4.64300894736842,5.30443959183673,7.67415833333333
53,GSM249766,4.49669458333333,4.19634,4.1817375,4.078796875,4.60633,6.103973,4.58348714285714,4.57761368421053,4.93638530612245,7.88872222222222
54,GSM249767,4.46706083333333,4.099025,4.25873166666667,4.00068125,4.358436,6.209995,4.92367142857143,4.7481,5.29720224489796,8.41153444444445
55,GSM249768,4.81100333333333,4.93224,4.34005166666667,4.166176875,4.6020785,6.397179,5.74205571428571,4.88316578947368,4.99251653061224,8.367935
56,GSM249769,4.72203708333333,4.019775,3.98199416666667,3.963805,4.380393,5.402636,4.40035428571429,4.47439947368421,4.78059204081633,7.22916666666667
57,GSM249770,4.78965458333333,4.30545,4.321765,4.134633125,4.623339,5.726933,4.73321714285714,4.76142421052632,5.00101448979592,7.12869
58,GSM249771,4.90605583333333,4.90585,4.91510333333333,4.204929375,4.6323455,6.562269,5.04280428571429,4.61422,5.10087632653061,9.49664944444444
59,GSM249773,4.70348958333333,4.33814,4.02544416666667,4.10427625,4.4717335,6.381053,5.14683142857143,5.12493736842105,5.14404755102041,8.90221222222222
60,GSM249774,4.53495583333333,4.094765,4.17737416666667,3.967029375,4.399522,5.773502,4.71399,4.54566,4.83500306122449,6.18604666666667
61,GSM249775,4.68350291666667,4.28656,4.2776925,4.2078575,4.3415515,6.213466,4.97772571428571,4.80346789473684,4.9424,7.33384333333333
62,GSM249776,4.40608,4.235515,4.044455,3.97948875,4.333506,5.738032,4.67584857142857,4.61203947368421,4.94297775510204,7.31103777777778
63,GSM249777,4.48135291666667,4.11357,4.03767833333333,4.023068125,4.3238955,5.83574,4.47359571428571,4.56474842105263,4.84247632653061,7.10342611111111
64,GSM249778,5.07413166666667,4.153545,4.36987666666667,3.97009,4.732383,6.286828,5.01199857142857,4.65989947368421,5.02819653061225,6.79522666666667
65,GSM249779,4.35534333333333,5.164485,4.09087166666667,4.038765625,4.586074,5.793337,4.62812428571429,4.69330842105263,5.13862387755102,6.10573166666667
66,GSM249780,4.68820375,4.082225,4.25102166666667,3.90263,4.0532495,7.139288,4.83718142857143,5.36533157894737,5.03024346938775,8.58436777777778
67,GSM249781,4.86700541666667,4.25816,4.05196666666667,4.0602625,4.563276,6.05087,4.63136714285714,4.62332789473684,4.79205469387755,8.30321888888889
68,GSM249782,4.89579,4.60131,4.81289416666667,4.1233175,4.9195095,7.445396,4.80394142857143,4.78559052631579,4.94101020408163,9.18749111111111
69,GSM249783,4.68454583333333,4.32424,4.48136166666667,4.074238125,4.291213,5.822413,4.93455285714286,4.84568736842105,4.90227265306122,7.40386611111111
70,GSM249784,4.35883,3.82867,4.114205,3.899889375,4.2851995,6.422849,4.50707142857143,4.60267052631579,5.17145326530612,7.86533055555556
71,GSM249785,4.46646166666667,4.02647,4.0698075,3.8820675,5.0313625,5.705801,4.29664714285714,4.5167,4.82418714285714,7.25307611111111
72,GSM249786,4.60043666666667,4.08554,4.01528083333333,4.007155625,4.298262,5.266077,4.39648,4.62152631578947,4.78533244897959,8.25173833333333
73,GSM249788,4.77342208333333,4.511125,4.88040583333333,4.097595625,4.6933025,6.374165,4.95413714285714,4.67697315789474,5.05967387755102,7.35813777777778
74,GSM249789,5.07120041666667,3.950185,3.99048083333333,3.9403575,4.2624875,5.822515,4.57809285714286,4.71415157894737,4.80355081632653,8.00410888888889
75,GSM249790,4.48470708333333,4.22688,4.04214833333333,4.11445625,4.4614015,6.297965,4.55637714285714,5.04478631578947,5.37127448979592,8.48947944444445
76,GSM249791,4.56763041666667,4.33341,4.13573083333333,4.08957125,4.593718,6.146364,5.94559714285714,4.87890736842105,5.03681857142857,6.58090777777778
77,GSM249792,4.72077666666667,4.10034,4.61309083333333,4.150605,4.6492,6.799983,5.26088571428571,4.82741263157895,5.04615,7.39241388888889
78,GSM249793,4.79264041666667,3.95554,4.38681333333333,4.213964375,4.3242895,6.618659,6.14957571428571,4.74061263157895,5.10401081632653,7.29774888888889
79,GSM249794,4.55851,4.194885,4.11804666666667,4.042811875,4.516521,5.780854,4.91692142857143,4.71434631578947,4.95816367346939,7.15701611111111
80,GSM249795,4.83533041666667,4.333525,5.56000583333333,4.429088125,4.5262165,6.895719,5.06832,4.82855684210526,5.22077755102041,9.26023
81,GSM249796,4.82954833333333,4.31279,4.19075666666667,4.08646625,4.57107,5.789655,4.74251,4.66493526315789,4.97050673469388,7.57384777777778
82,GSM249797,4.65505916666667,4.429855,4.41668666666667,4.072126875,4.7513295,6.597275,4.72212428571429,4.74787368421053,5.32294857142857,9.31366944444444
83,GSM249798,4.60275375,4.07083,4.11504333333333,3.94071875,4.410983,6.46768,4.47659857142857,4.52089736842105,5.43660755102041,7.79517444444444
84,GSM249799,4.74061583333333,4.041905,4.04425583333333,4.16182,4.521526,5.794754,4.85511714285714,4.82952578947368,4.86556530612245,7.32789166666667
85,GSM249800,5.05812208333333,4.34432,4.79246666666667,4.035988125,5.1770545,6.77332,4.75677857142857,4.68397473684211,5.40459795918367,6.97313888888889
86,GSM249801,4.72034791666667,4.505565,4.66098,3.844908125,4.24966,6.950022,4.59157285714286,4.84366,4.80423265306122,7.87147555555556
87,GSM249802,4.75072916666667,4.507195,4.19186666666667,4.294994375,4.5194465,5.64736,5.17103285714286,4.91602684210526,5.23539408163265,6.81029611111111
88,GSM249803,4.67252875,4.00466,4.2308825,4.008055625,4.491028,6.485234,4.51903428571429,4.64605947368421,5.12536265306122,8.96044388888889
89,GSM249804,4.63344916666667,4.58118,4.22027166666667,4.227893125,4.440182,6.203729,4.91227,4.78695157894737,4.91332612244898,7.49116055555556
90,GSM249805,4.64576458333333,4.223765,4.31980083333333,3.975405,4.5768815,6.794468,4.80512285714286,5.07983842105263,5.07448367346939,8.06582722222222
91,GSM249806,4.55760666666667,4.22872,4.39555583333333,4.01661375,4.725748,6.880508,5.39012428571429,4.65796263157895,5.58656489795918,9.24347111111111
92,GSM249807,5.07755083333333,4.371085,4.49856833333333,4.055081875,5.0462525,6.963951,5.07511857142857,5.01192842105263,5.05008448979592,7.37294222222222
93,GSM249808,4.8642675,4.70025,4.87898,4.173671875,5.0131725,7.138384,5.05376428571429,4.90361210526316,5.01526897959184,7.807135
94,GSM249809,4.6546025,4.15032,4.2766625,4.015924375,4.441502,6.767589,4.97189142857143,4.6101652631579,5.48803857142857,8.87984555555555
95,GSM249810,4.62338625,4.330775,4.64607833333333,3.9971725,4.5001715,6.785321,4.83133714285714,4.6520852631579,5.02391448979592,8.74570222222222
96,GSM249811,4.52623291666667,4.11293,4.30967833333333,3.979011875,4.478211,6.844345,4.91339428571429,5.03800473684211,4.97205204081633,8.06570944444444
97,GSM249812,4.65826,4.15479,3.91450833333333,4.021445625,4.431885,5.159156,4.52783,4.63102894736842,4.77839632653061,6.45680333333333
98,GSM249813,4.95585458333333,4.568415,5.227235,4.067278125,4.493213,7.620944,5.12337142857143,4.90544157894737,4.85089755102041,8.35769277777778
99,GSM249814,5.21406375,4.79058,5.41595,4.24409625,5.7666255,7.455483,5.07497,4.77788631578947,5.26007040816327,8.92661888888889
100,GSM249815,4.7785575,4.348975,4.701465,4.11392625,4.609685,6.814527,5.03654428571429,4.65223842105263,5.27936285714286,8.551545
101,GSM249816,4.54415291666667,4.031155,4.13740333333333,3.967691875,4.802764,6.395235,4.50414285714286,4.70085947368421,5.02190795918367,8.34083444444444
102,GSM249817,4.4871775,4.158295,4.5194,4.05682375,4.533504,6.514128,4.64724714285714,4.68130473684211,5.07235040816327,9.24807666666667
103,GSM249818,4.65991916666667,4.319175,4.5098325,3.99621375,5.209529,6.635842,4.82384,4.50361421052632,4.93208897959184,8.567735
104,GSM249819,4.84936625,4.035845,3.8542275,3.95820375,4.331719,5.910914,4.56070714285714,4.68524736842105,4.88964959183673,6.98646777777778
105,GSM249820,4.76293083333333,4.33107,4.710265,4.09067625,4.4328945,7.055871,4.90953571428571,4.75244684210526,5.04864510204082,7.90220555555556
106,GSM249821,4.90206,4.41192,4.886595,3.977258125,5.0196355,6.895397,4.80409428571429,4.66175210526316,5.34961448979592,9.63901888888889
107,GSM249822,4.84737541666667,4.122805,4.16458,3.97827125,4.613041,6.922486,5.35184714285714,4.7690547368421,5.08146897959184,7.45322222222222
108,GSM249823,5.52787583333333,4.406045,5.20521166666667,4.325610625,6.9540125,8.179752,5.64995142857143,5.27528631578947,5.90440591836735,9.02353333333333
109,GSM249824,4.506885,5.702495,3.94602583333333,3.8469425,4.1419055,5.980512,4.53857714285714,4.59396736842105,4.87236489795918,7.95711777777778
110,GSM249825,4.59715208333333,4.2405,4.58247333333333,4.0531925,4.624625,7.151301,4.77866285714286,4.76181105263158,4.8633393877551,8.67681166666667
111,GSM249826,4.49420625,4.273025,3.9314425,4.01037375,4.4422825,5.93785,4.66431857142857,4.75903894736842,4.85295510204082,8.07479111111111
112,GSM249827,4.4871625,3.99856,3.9676625,3.970058125,4.3526845,5.624498,4.48040428571429,4.64237789473684,5.56314224489796,8.41015888888889
113,GSM249828,4.6112725,4.284495,4.20670416666667,4.02060625,4.8831195,6.519252,4.85167571428571,5.01331315789474,4.99925265306122,7.85223277777778
114,GSM249829,5.04808208333333,4.35814,4.80248583333333,3.893866875,4.7197295,7.488019,5.14061857142857,4.66402052631579,5.10540489795918,9.63783055555556
115,GSM249830,4.60569041666667,4.38075,4.45165416666667,4.0609125,4.559377,6.409888,4.83979428571429,4.64192894736842,5.01999632653061,8.60473666666667
116,GSM249831,4.64785833333333,4.37189,4.78970583333333,4.113403125,4.727474,6.736492,5.15089714285714,4.52093,4.91306163265306,8.667625
117,GSM249832,4.83178458333333,4.27686,4.25161666666667,4.158860625,4.809443,6.267769,4.67010142857143,4.91018157894737,4.83354755102041,7.18443666666667
118,GSM249833,4.6497725,4.20831,4.79435333333333,4.018030625,5.117193,6.348989,4.76261714285714,4.68224421052632,4.8359712244898,7.83477555555556
119,GSM249834,4.71207041666667,4.365355,4.65321416666667,4.15954125,5.111007,6.323575,4.90009428571429,4.72684157894737,5.07622285714286,9.11745
120,GSM249835,4.60377875,4.230055,4.42534166666667,4.0627275,4.954867,6.918396,5.96884857142857,4.55458736842105,4.93409571428571,8.46765777777778
121,GSM249836,4.50921208333333,4.224195,4.7673275,3.89166125,4.367373,7.513527,4.80879857142857,4.59784,5.52769591836735,9.76805166666667
122,GSM249837,4.65829166666667,3.992575,4.1357225,3.92121875,4.3581865,6.243347,4.52283142857143,4.85307894736842,4.74091816326531,7.47677666666667
123,GSM249838,4.59527666666667,4.64999,4.87696166666667,3.959834375,4.3597155,6.467998,4.72670142857143,4.66610526315789,5.41583367346939,9.03974388888889
124,GSM249839,4.55080458333333,4.11145,3.9296875,3.91411,4.2113615,5.617517,4.49085142857143,4.56472210526316,5.52915857142857,8.02060277777778
125,GSM249840,5.70325583333333,5.37147,5.72671583333333,4.12484,6.7729725,7.21656,6.35922285714286,4.79146105263158,5.38047428571429,9.07757277777778
126,GSM249841,4.85381875,4.13725,3.92316583333333,4.008536875,4.468319,5.57073,4.71311428571429,4.5502,4.85211918367347,7.18114611111111
127,GSM249842,5.42433583333333,5.164545,5.05457916666667,4.0481075,5.5176045,7.658147,5.80772142857143,4.72332578947368,4.91029571428571,8.10022222222222
128,GSM249843,5.25304541666667,4.435155,4.85762416666667,4.11709625,6.29676,7.201724,6.06460714285714,5.21011315789474,5.59106551020408,9.36816666666667
129,GSM249844,4.74309208333333,4.33206,4.4492025,4.12860375,4.6245255,6.223221,4.98545428571429,4.62225842105263,5.09789795918367,7.40493611111111
130,GSM249845,4.74752625,4.108385,4.089345,4.04289875,4.2419665,6.651757,4.62717142857143,4.5816152631579,5.25517081632653,9.89132888888889
131,GSM249846,5.30662625,5.42533,5.6373275,4.039241875,4.516601,7.636054,5.49084857142857,4.60369947368421,5.23450775510204,9.24907055555556
132,GSM249847,4.63632208333333,4.39365,4.07350333333333,4.055645625,4.3102775,5.622866,4.62631,5.09894842105263,4.89462408163265,6.62229888888889
133,GSM249848,4.90885125,4.6138,5.21558416666667,4.26652125,4.5679185,7.118741,5.05398857142857,4.79988,5.26418428571429,9.61984166666667
134,GSM249849,4.95754041666667,4.8738,4.504415,3.901638125,4.6088775,6.509933,4.72793714285714,4.54788421052632,5.0739506122449,7.968945
135,GSM249850,4.50563875,4.09234,3.933855,3.98791375,4.226591,5.608231,4.18949571428571,5.44070157894737,4.78595367346939,6.19746166666667
136,GSM249851,4.72003583333333,4.825615,4.1195375,4.005965,4.5637015,5.880192,4.73590571428571,4.51423684210526,4.64891836734694,7.78313222222222
137,GSM249852,5.233045,5.24494,4.986355,4.253138125,4.8556195,7.667029,4.90785571428571,4.89091631578947,4.74714326530612,8.22590388888889
138,GSM249853,5.53166208333333,5.2513,5.7714725,4.02254875,5.549555,7.983707,6.26570428571429,5.43177842105263,5.49335795918367,8.27243722222222
139,GSM249854,4.95395875,4.341545,4.8002225,3.875654375,5.744683,7.096416,5.18510142857143,5.13604789473684,6.28227510204082,9.721255
140,GSM249855,4.3588325,3.724645,4.10677916666667,4.056361875,4.318231,5.557229,4.35124285714286,4.72763894736842,5.05846204081633,6.49308944444444
141,GSM249856,4.52570583333333,6.226165,4.20402166666667,3.99205125,4.0395055,6.581541,4.43867714285714,4.69067631578947,5.73271326530612,6.696835
142,GSM249857,4.4219175,4.29082,4.0584175,4.030684375,4.635731,6.111882,4.52955714285714,4.59315368421053,5.29324591836735,7.64680722222222
143,GSM249858,4.94756541666667,4.528025,4.72162333333333,3.971670625,4.4496805,7.332758,5.14853571428571,4.67338947368421,5.42650448979592,10.0609127777778
144,GSM249859,4.74667833333333,4.236345,4.2811375,3.968278125,4.393255,6.871915,4.87315,4.66332578947368,4.92574224489796,8.89935333333333
145,GSM249860,4.83413291666667,4.439145,5.4152475,4.031124375,4.385124,7.640758,4.81568,4.78107052631579,5.05731040816327,9.08730944444445
146,GSM249861,4.50651,4.152345,4.05451333333333,4.160185,4.5461805,5.458877,4.94618571428571,4.68931157894737,4.9237287755102,7.01806555555556
147,GSM249862,4.97377625,4.32969,4.94826916666667,4.116039375,4.6511245,7.176429,4.75749714285714,4.65642947368421,5.00285387755102,8.59528444444445
148,GSM249863,4.77283833333333,4.467225,4.6275375,4.03039375,4.989922,6.9516,5.01082142857143,4.55239789473684,5.4323212244898,8.78446888888889
149,GSM249864,4.60833625,4.264145,4.02954,4.097845,4.653266,5.748967,4.76907714285714,4.64904894736842,4.88190367346939,5.69102555555556
150,GSM249865,4.81182333333333,4.535785,4.88319333333333,4.179663125,4.985647,7.055679,5.16092714285714,4.71801684210526,5.3697587755102,8.95373833333333
151,GSM249866,4.48398125,4.345425,4.04630083333333,4.13987,4.501304,6.059156,4.82301142857143,4.60622368421053,4.7466487755102,6.92447388888889
152,GSM249867,4.98262958333333,4.485005,4.67187583333333,4.042374375,4.822049,7.664122,6.20975,4.96012631578947,5.33979775510204,9.42433
153,GSM249868,4.58213083333333,5.61921,3.89411833333333,4.015616875,4.228093,5.923669,4.68317571428571,4.54256894736842,5.04776285714286,7.49070722222222
154,GSM249869,4.42352208333333,3.83248,3.7658225,3.97450625,4.571463,5.854755,4.53885571428571,4.71878421052632,4.91186408163265,8.58881
155,GSM249870,4.36822291666667,4.45683,4.0056725,4.060548125,4.3434945,6.431479,4.6474,4.6573952631579,5.05343346938776,7.27192055555556
156,GSM249871,5.04098791666667,4.592865,4.85497916666667,4.127148125,4.98737,7.010139,4.81205714285714,4.49994,5.16508265306122,9.17562166666667
157,GSM249872,4.98191291666667,4.265775,4.5127675,3.958473125,4.567316,6.438222,4.57142285714286,4.76336,5.66052489795918,9.45930944444444
158,GSM249873,4.53867041666667,4.338095,5.0984125,4.20476,4.3134545,7.254348,4.76104428571429,4.72386526315789,5.1255993877551,8.97343611111111
159,GSM249874,5.08102166666667,4.968995,5.0248175,4.280834375,4.6658485,7.412283,5.16620142857143,4.87057210526316,5.00428040816327,8.24593888888889
160,GSM249875,4.52869083333333,4.24675,4.18119416666667,4.029974375,4.409268,5.815379,4.37712,4.56857,4.93417959183673,7.94986
161,GSM249876,5.0137525,4.62791,5.08406,4.11941625,4.747196,7.408659,5.62309714285714,4.90571421052632,5.2718712244898,9.17471166666667
162,GSM249877,5.03424916666667,4.481835,4.6771975,4.08485875,5.647819,6.964551,5.01748285714286,4.76531210526316,4.91637510204082,8.03565833333333
163,GSM249878,4.31267083333333,4.05327,4.24249916666667,3.956685625,4.4413325,6.734466,4.62343285714286,4.42776157894737,4.66663836734694,6.55735666666667
164,GSM249879,4.71471833333333,4.235125,4.50531166666667,4.054799375,4.5259845,6.980601,4.54646,4.71425789473684,5.0097112244898,9.26596222222222
165,GSM249880,4.63999916666667,4.083255,4.30518583333333,4.195768125,4.468403,6.710673,4.79071,4.86855789473684,5.02265959183673,6.50214444444444
166,GSM249881,4.59944875,4.203115,3.9407825,4.01533125,4.4120975,5.94317,4.65162571428571,4.47673157894737,4.86862714285714,8.17539333333333
167,GSM249882,4.49989083333333,4.146555,4.15505916666667,3.93498,4.700183,5.767367,4.46728,4.81566789473684,5.13557367346939,7.90187722222222
168,GSM249883,4.7949375,4.22707,4.20071416666667,4.120731875,4.580779,6.21042,4.79291142857143,4.78343947368421,4.78971795918367,6.99850277777778
169,GSM249884,4.90813166666667,4.238565,4.99499583333333,4.184581875,5.1474585,6.42813,4.93233142857143,4.72479947368421,4.90342265306122,7.50397777777778
170,GSM249885,4.68765791666667,4.28136,4.56333833333333,4.078293125,4.3769735,7.625542,5.76989285714286,4.74578421052632,5.11218734693878,8.31899666666667
171,GSM249886,4.60786083333333,4.346995,3.99897833333333,3.976601875,4.409467,6.16815,4.70999428571429,4.63212789473684,4.85792571428571,6.725205
172,GSM249887,4.79958791666667,4.393645,4.58055083333333,4.032018125,5.5918945,6.876741,5.54260571428571,4.69149631578947,5.06766367346939,8.46123722222222
173,GSM249888,5.19090833333333,4.511125,5.12764416666667,3.941221875,4.8603315,7.261418,5.60441857142857,4.75526736842105,5.19964346938776,8.83134611111111
174,GSM249889,4.89749791666667,4.78868,4.86713833333333,4.051181875,4.5681085,7.089399,5.29123714285714,4.74258052631579,4.9830893877551,7.97305166666667
175,GSM249890,4.94804333333333,4.331325,4.7259975,4.04895625,4.5953645,7.272553,4.89054857142857,4.65178789473684,5.27679510204082,9.08782222222222
176,GSM249891,4.84361041666667,4.398415,4.65136666666667,4.1541225,4.6916745,6.012086,4.88466,4.85117947368421,5.02193836734694,7.64907277777778
177,GSM249892,4.37761416666667,5.189595,4.10160833333333,4.72463125,4.506879,5.867191,4.67468714285714,4.63841,5.08098632653061,7.11031944444444
178,GSM249893,5.18477166666667,4.65239,4.97845666666667,4.244308125,4.857872,7.50234,5.48165571428571,5.02683947368421,4.86665163265306,7.33642722222222
179,GSM249894,4.6012425,4.342105,4.1433575,4.002538125,4.559302,5.63924,4.68213857142857,4.56313578947368,4.70147204081633,6.07804222222222
180,GSM249895,4.71619875,4.008415,4.35536083333333,4.04574125,4.4543235,6.837178,4.71599714285714,4.9375,5.57263755102041,9.92260555555556
181,GSM249896,4.74970541666667,4.371995,4.4698425,4.097073125,4.2799415,6.472926,4.72129857142857,4.67252421052632,5.40118897959184,9.50555444444444
182,GSM249897,4.42737416666667,4.16799,4.25819583333333,4.018871875,4.3947005,7.238178,4.70650142857143,4.67103789473684,5.02323795918367,7.33913888888889
183,GSM249898,4.70899125,4.059835,4.0653475,4.0692975,4.226212,5.200289,4.66115285714286,4.37817315789474,4.97461448979592,7.64757444444444
184,GSM249899,4.75720416666667,4.185845,4.39913083333333,3.9917525,4.4069285,6.449639,4.60726285714286,4.79713210526316,4.91815510204082,7.77407222222222
185,GSM249900,5.08239375,4.630625,4.5947025,4.03353375,4.7539165,6.392361,4.63092,4.5866252631579,4.88588408163265,7.12080166666667
