probeset,hgnc
A_23_P104705,SLC29A2
A_23_P104734,STT3A
A_23_P104741,KIRREL3
A_23_P104762,YAP1
A_23_P104798,IL18
A_23_P104804,ZBTB16
A_23_P104819,TREH
A_23_P104845,CHRM4
A_23_P104853,TECTA
A_23_P104865,OR10D1P
A_23_P104876,SPA17
A_23_P104881,ROBO4
A_23_P104942,TMX2
A_23_P10497,ATP9B
A_23_P104972,MS4A5
A_23_P104996,BEST1
A_23_P10500,ATP9B
A_23_P105002,ROM1
A_23_P105012,HRASLS2
A_23_P105028,ATL3
A_23_P105044,MRPL23
A_23_P10506,HPGDS
A_23_P105066,ILK
A_23_P105088,ASCL2
A_23_P105118,OR51G1
A_23_P105138,CAT
A_23_P105144,SCUBE2
A_23_P10518,TFDP3
A_23_P105184,ARAP1
A_23_P105197,CAPN5
A_23_P105212,THRSP
A_23_P105227,ME3
A_23_P105251,GLI1
A_23_P105264,ETV6
A_23_P105276,ZNF84
A_23_P105307,DGKA
A_23_P105313,EIF2B1
A_23_P105382,THAP2
A_23_P105392,CCT2
A_23_P105409,MAP3K12
A_23_P10542,HTRA3
A_23_P105423,TESPA1
A_23_P105436,PTPN11
A_23_P105442,GRASP
A_23_P105453,KRT73
A_23_P105461,CMKLR1
A_23_P105465,CMKLR1
A_23_P105475,SLCO1B3
A_23_P105495,TAS2R14
A_23_P105519,WBP11P1///WBP11
A_23_P105524,PLCZ1
A_23_P105535,POC1B
A_23_P105545,VAMP1
A_23_P105562,VWF
A_23_P105571,CHPT1
A_23_P105583,RHNO1
A_23_P10559,AATK
A_23_P105592,MVK
A_23_P1056,GPR89A///GPR89C///GPR89B
A_23_P10561,DUTP1
A_23_P105619,TMEM116
A_23_P105625,COQ5
A_23_P105646,ATF1
A_23_P105651,PDZRN4
A_23_P105664,CCDC59
A_23_P105691,GPRC5D
A_23_P105705,FGF6
A_23_P105730,MDM1
A_23_P105747,APPL2
A_23_P105753,PWP1
A_23_P105794,EPSTI1
A_23_P105803,FGF9
A_23_P105833,BIVM
A_23_P105856,SLC46A3
A_23_P105862,FRY
A_23_P105873,TRPC4
A_23_P105886,C1QTNF9B
A_23_P105900,BTF3P11
A_23_P10591,METRNL
A_23_P105923,DIO3
A_23_P105939,EXOC3L4
A_23_P105957,ACTN1
A_23_P105963,AK7
A_23_P105973,SERPINA11
A_23_P106,USP33
A_23_P106002,NFKBIA
A_23_P106016,PRKD1
A_23_P106024,JAG2
A_23_P106042,CMTM5
A_23_P106056,DAD1
A_23_P106069,TRAV6
A_23_P106080,RNASE7
A_23_P106103,AKAP5
A_23_P106117,SIX6
A_23_P106127,KIAA0586
A_23_P106131,KTN1
A_23_P10614,PDK1
A_23_P106145,ERO1L
A_23_P106158,L2HGDH
A_23_P106162,MIS18BP1
A_23_P106174,PSEN1
A_23_P106194,FOS
A_23_P106204,GSTZ1
A_23_P106226,CHMP4A
A_23_P106236,FOXN3-AS2
A_23_P106241,TRIP11
A_23_P106258,SLC25A47
A_23_P106299,SERF2///HYPK
A_23_P106322,CPEB1
A_23_P106362,AQP9
A_23_P106371,GOLGA6A///GOLGA6C///GOLGA6D
A_23_P106389,SEMA7A
A_23_P106391,THAP10
A_23_P10640,ENPP7
A_23_P106405,NDN
A_23_P106425,C15orf38-AP3S2///C15orf38
A_23_P106433,RCCD1
A_23_P106439,RCCD1
A_23_P106463,OAZ2
A_23_P10647,CYTL1
A_23_P106481,EMC4
A_23_P106497,IREB2
A_23_P106505,LCMT2
A_23_P106522,INO80
A_23_P106532,CHST14
A_23_P106544,CMC2
A_23_P106559,UNKL
A_23_P106562,GALNS
A_23_P106575,GOT2
A_23_P106602,CRISPLD2
A_23_P106617,WFDC1
A_23_P106629,IGSF6
A_23_P106633,DDX28
A_23_P106656,CA7
A_23_P106661,CKLF-CMTM1///CMTM1
A_23_P106663,CKLF-CMTM1///CMTM1
A_23_P106675,PLCG2
A_23_P106682,EMP2
A_23_P106694,CHMP1A
A_23_P106720,TBL3
A_23_P106727,RAB11FIP3
A_23_P106737,LUC7L
A_23_P106741,PSMD7
A_23_P106761,CORO1A
A_23_P106773,SULT1A2
A_23_P106798,SIAH1
A_23_P106806,PRSS27
A_23_P106814,ZG16B
A_23_P106822,NOB1
A_23_P106835,BBS2
A_23_P106844,MT2A
A_23_P10685,HSPBP1
A_23_P106859,EMC8
A_23_P106874,PMFBP1
A_23_P106887,FUS
A_23_P106898,ORAI3
A_23_P106906,PPL
A_23_P106933,ACSM1
A_23_P106945,ADCY7
A_23_P106973,SEPT9
A_23_P10699,SNX12
A_23_P106998,MRPS23
A_23_P10701,APBB2
A_23_P107036,TMEM11
A_23_P107048,SUMO2
A_23_P107051,TCAP
A_23_P107064,TNK1
A_23_P107073,RPA1
A_23_P107087,TSR1
A_23_P107102,KIF2B
A_23_P107116,RNF112
A_23_P107132,RCVRN
A_23_P107154,USP32
A_23_P107166,ACBD4
A_23_P107173,MEOX1
A_23_P1072,ATP1A1
A_23_P107206,STAT3
A_23_P107211,RAB5C
A_23_P107214,RAB5C
A_23_P107238,MBTD1
A_23_P107247,CACNA1G
A_23_P107257,SPOP
A_23_P107283,HOXB2
A_23_P107295,LRRC37BP1///LRRC37B
A_23_P107307,SLC13A2
A_23_P107313,SDF2
A_23_P107322,CORO6
A_23_P107336,ACAP1
A_23_P107350,SLC2A4
A_23_P107351,NLRP1
A_23_P107373,NMT1
A_23_P107394,HES7
A_23_P107401,TIMP2
A_23_P107412,P4HB
A_23_P107421,TK1
A_23_P10743,PDE6B
A_23_P107454,KRTAP3-1
A_23_P107465,KRT31
A_23_P107483,OR3A3
A_23_P107507,CBX1///CBX1P2
A_23_P107513,CEP76
A_23_P107531,LOXHD1
A_23_P107552,TRAPPC8
A_23_P107565,AQP4
A_23_P107587,NPC1
A_23_P107597,ATP8B1
A_23_P107612,RAB27B
A_23_P107623,SERPINB12
A_23_P107644,SNRPD1
A_23_P107653,ETFB
A_23_P107661,PPP2R1A
A_23_P107673,ZFP28
A_23_P107684,ZNF324///ZNF446
A_23_P107693,ZNF586
A_23_P107701,ERCC1
A_23_P107714,MARK4
A_23_P107724,ZNF112
A_23_P107735,CD79A
A_23_P107744,S1PR5
A_23_P107750,S1PR5
A_23_P107763,ZNF266
A_23_P107775,TMEM190
A_23_P107795,ATP5SL
A_23_P107801,C19orf44
A_23_P107847,LILRA5
A_23_P10785,VTI1A
A_23_P107855,FIZ1
A_23_P107894,YIPF2
A_23_P107903,RGL3
A_23_P107911,KLK10
A_23_P107933,VRK3
A_23_P107942,ZNF473
A_23_P107959,NOSIP
A_23_P107974,FUT2
A_23_P10798,CNP
A_23_P107981,SULT2B1
A_23_P107994,TMEM160
A_23_P108028,ZNF146
A_23_P108042,NCR1
A_23_P108054,TMEM86B
A_23_P108062,LGALS7///LGALS7B
A_23_P108075,SLC7A10
A_23_P108082,CREB3L3
A_23_P108129,ZNF223
A_23_P108135,AP3D1
A_23_P108143,GAMT
A_23_P10815,PUM1
A_23_P108157,TJP3
A_23_P108170,PSG6
A_23_P108180,GRIN3B
A_23_P108200,RAB3A
A_23_P108216,FXYD1
A_23_P108221,TSSK6
A_23_P108244,COX6B1
A_23_P108265,OR7C2
A_23_P108280,CYP4F24P///CYP4F12
A_23_P108294,PPAP2C
A_23_P1083,GJA4
A_23_P108303,NDUFA7
A_23_P108314,ADAMTS10
A_23_P108326,NR2F6
A_23_P108331,SGTA
A_23_P108342,ZNF571
A_23_P108376,THADA
A_23_P10839,SEPT2
A_23_P108404,AGAP1
A_23_P108415,DARS
A_23_P108427,GALNT5
A_23_P108437,FZD5
A_23_P108463,WDR35
A_23_P108492,MARS2
A_23_P108501,EPHA4
A_23_P108514,STK16
A_23_P108522,FAM134A
A_23_P108546,REG1P
A_23_P108554,DDX1
A_23_P108564,B3GALT1
A_23_P108574,PRKD3
A_23_P10858,ANKLE2
A_23_P108592,PPP3R1
A_23_P108604,MAP4K4
A_23_P108641,FAM136A
A_23_P108657,WDSUB1
A_23_P108662,MOGS
A_23_P108673,EVA1A
A_23_P108699,FSHR
A_23_P10870,DOLK
A_23_P108708,RNF181
A_23_P10873,TLR1
A_23_P108734,ALLC
A_23_P108743,XIRP2
A_23_P108751,FHL2
A_23_P108761,CNOT11
A_23_P108785,ACTR3
A_23_P108819,SFXN5
A_23_P108823,OSBPL6
A_23_P108835,YPEL5
A_23_P108842,DUSP2
A_23_P10885,ZNF224
A_23_P108871,ZC3H8
A_23_P108883,KCNK12
A_23_P108911,TRIM54
A_23_P108922,MOB1A
A_23_P108932,RPL23AP32///SPTBN1
A_23_P108970,NPHP1
A_23_P108994,RPN2
A_23_P109001,TTI1
A_23_P109017,SRSF6
A_23_P10902,FRZB
A_23_P109026,KCNK15
A_23_P109034,SDC4
A_23_P109055,TP53RK
A_23_P109072,SALL4
A_23_P10911,PLBD2
A_23_P109122,EBF4
A_23_P109133,AVP
A_23_P109143,PRNP
A_23_P109171,BFSP1
A_23_P109184,INSM1
A_23_P109193,NAPB
A_23_P109201,APMAP
A_23_P109229,SUN5
A_23_P109235,RALY
A_23_P109254,RBM39
A_23_P109269,LAMA5
A_23_P10927,TM2D2
A_23_P109286,GRIK1
A_23_P109304,SLC5A3
A_23_P109320,RIPPLY3
A_23_P109322,PCP4
A_23_P109333,C21orf33
A_23_P109345,PTTG1IP
A_23_P10936,KRTAP4-1
A_23_P109382,GSC2
A_23_P109393,ARVCF
A_23_P109410,THAP7
A_23_P109420,BMS1P15///BMS1P16
A_23_P109427,GSTT2B///GSTT2
A_23_P109436,SPECC1L-ADORA2A///ADORA2A
A_23_P109442,HPS4
A_23_P109446,HPS4
A_23_P109452,CHEK2P5///CHEK2///CHEK2P2///CHEK2P4
A_23_P10947,STAC3
A_23_P109470,THOC5
A_23_P109488,PIK3IP1
A_23_P109508,NCF4
A_23_P109547,MIEF1
A_23_P10956,PGM5
A_23_P109593,TBC1D22A
A_23_P109606,SBF1
A_23_P109614,MOBP
A_23_P109636,LRIG1
A_23_P109643,ABTB1
A_23_P109655,SLC35G2
A_23_P10966,GABRB3
A_23_P109682,AZI2
A_23_P109733,SPICE1
A_23_P109768,RNF7
A_23_P109774,ZBTB11
A_23_P109785,NR1I2
A_23_P109794,ANKRD28
A_23_P10980,LPHN3
A_23_P109812,SYN2
A_23_P109821,TADA3
A_23_P109843,IL5RA
A_23_P109864,GHSR
A_23_P109877,WDR82
A_23_P109881,ITIH4
A_23_P109895,SLC26A6
A_23_P109907,ILDR1
A_23_P109913,CXCR6
A_23_P109928,PSMD6
A_23_P109934,HEMK1
A_23_P10995,RBMS3
A_23_P109950,ACVR2B
A_23_P109964,CCDC54
A_23_P109974,RAB6B
A_23_P109988,CD86
A_23_P110005,NICN1
A_23_P110022,GATA2
A_23_P110031,ZNF589
A_23_P11005,ADAMTS7P4///ADAMTS7
A_23_P110052,FOXL2
A_23_P110062,EIF2B5
A_23_P110076,WDR53
A_23_P110090,WDR52
A_23_P110108,SLC12A8
A_23_P110116,SH3BP2
A_23_P110122,CCNG2
A_23_P110135,WDR19
A_23_P110151,ARHGAP24
A_23_P110167,MGST2
A_23_P110175,CTSO
A_23_P110184,MSMO1
A_23_P110196,HERC5
A_23_P1102,ACTA1
A_23_P110204,CXCL5
A_23_P110234,CSN1S1
A_23_P110243,METTL14
A_23_P11025,ZNF185
A_23_P110253,KIT
A_23_P110266,NDNF
A_23_P110276,AFAP1-AS1
A_23_P110288,GSTCD
A_23_P110299,TACR3
A_23_P110304,CNOT6L
A_23_P110319,CWH43
A_23_P11032,SLC9A7
A_23_P110345,CHIC2
A_23_P110362,LAMTOR3
A_23_P110386,USP46
A_23_P110403,PDLIM3
A_23_P110412,TMEM150C
A_23_P110430,MSX1
A_23_P110433,PPWD1
A_23_P110445,SRA1///APBB3
A_23_P110462,PCDHB1
A_23_P110473,NAIP
A_23_P110492,MARCH6
A_23_P110504,CLPTM1L
A_23_P11051,THOC2
A_23_P110531,FST
A_23_P110557,UNC5A
A_23_P110569,TRIM36
A_23_P110571,MAST4
A_23_P110585,PRELID2
A_23_P110598,WDR36
A_23_P110606,MAML1
A_23_P110611,GIN1
A_23_P110624,CTNND2
A_23_P110643,CDKL3
A_23_P110661,SKIV2L2
A_23_P110686,STC2
A_23_P110699,ZNF300
A_23_P11070,GPR174
A_23_P110704,SLU7
A_23_P11071,PORCN///EBP
A_23_P110712,DUSP1
A_23_P110725,PRKAA1
A_23_P110764,MYOT///PKD2L2
A_23_P110777,LECT2
A_23_P110787,SCAMP1
A_23_P110791,CSF1R
A_23_P110802,CENPH
A_23_P11081,AKAP4
A_23_P110811,MIR3607///COX7C
A_23_P110846,CNOT8
A_23_P110851,TERT
A_23_P110879,TRAF3IP2
A_23_P110882,TSPYL4
A_23_P110896,SLC17A5
A_23_P110903,SRSF12
A_23_P110941,GSTA4
A_23_P110957,FOXF2
A_23_P110961,MPC1
A_23_P111000,PSMB9
A_23_P111005,YIPF3
A_23_P111020,SRF
A_23_P11103,BMP15
A_23_P111037,HIST1H3A
A_23_P111041,HIST1H2BI
A_23_P111054,HIST1H2BB
A_23_P111088,OR2B2
A_23_P111092,OR2H1
A_23_P111112,VARS2
A_23_P111132,HSPA1A
A_23_P111141,BAG6
A_23_P111155,ZBTB12P1///ZBTB12
A_23_P111188,ZBTB22
A_23_P111194,SPDEF
A_23_P111206,FKBP5
A_23_P111228,COQ3
A_23_P111240,PHACTR2
A_23_P111260,NT5E
A_23_P111267,SH3BGRL2
A_23_P111273,TBC1D7
A_23_P111288,TMEM14C
A_23_P111297,RPP40
A_23_P111303,SCAF8
A_23_P111306,SCAF8
A_23_P111311,AKAP12
A_23_P111321,ARG1
A_23_P111343,BCLAF1
A_23_P111360,HSF2
A_23_P111361,PPIL6
A_23_P111373,MRS2
A_23_P111381,ATG5
A_23_P111395,SLC22A2
A_23_P111402,RSPO3
A_23_P111413,CEP41
A_23_P11144,CHM
A_23_P111452,AGAP3
A_23_P111480,STAG3L4
A_23_P111481,SRRT
A_23_P111487,SRRT
A_23_P111492,MOSPD3
A_23_P111506,LRCH4///SAP25
A_23_P111517,WBSCR17
A_23_P111531,GLI3
A_23_P111571,HOXA3
A_23_P111583,CD36
A_23_P111593,CYTH3
A_23_P11160,MAP7D3
A_23_P111604,NXPH1
A_23_P111621,GTF2IRD1
A_23_P111635,STYXL1
A_23_P111657,SHH
A_23_P111662,ABCB5
A_23_P111672,TES
A_23_P111698,MAFK
A_23_P1117,ST7L
A_23_P111701,GNG11
A_23_P111712,MTERF
A_23_P111724,RUNDC3B
A_23_P111737,RAMP3
A_23_P111745,ZMIZ2
A_23_P111753,MRPL32
A_23_P111804,PARP12
A_23_P111811,ING3
A_23_P111826,SPAM1
A_23_P111835,DLD
A_23_P111843,ZNHIT1
A_23_P111860,RADIL
A_23_P111865,ZSCAN21
A_23_P111888,CTHRC1
A_23_P111919,PURG
A_23_P11192,UBE2E3
A_23_P111929,OTUD6B
A_23_P111947,CDH17
A_23_P111961,MAK16
A_23_P111978,KCNK9
A_23_P111981,LYNX1
A_23_P111995,LOXL2
A_23_P112004,LRRC6
A_23_P11201,GPR34
A_23_P112016,DLC1
A_23_P112026,IDO1
A_23_P112061,HGSNAT
A_23_P112078,MFHAS1
A_23_P112086,DEFA5
A_23_P112100,SNTG1
A_23_P112103,GSDMD
A_23_P112113,KIAA0196
A_23_P112135,TRAM1
A_23_P11214,NKRF
A_23_P112159,AGO2
A_23_P112162,DGAT1
A_23_P112173,SLC24A2
A_23_P112187,FIBCD1
A_23_P112201,KDM4C
A_23_P112220,INSL4
A_23_P11224,MMGT1
A_23_P112241,DNAJB5
A_23_P112251,DNAJC25///DNAJC25-GNG10///GNG10
A_23_P112260,GNG10
A_23_P112275,GABBR2
A_23_P112289,TMOD1
A_23_P112296,DBH
A_23_P112311,TRIM32
A_23_P112327,OBP2A
A_23_P112341,RMI1
A_23_P11237,TAF1
A_23_P112397,FBXW5
A_23_P112406,GTF3C5
A_23_P112412,TEX10
A_23_P112429,RPL35
A_23_P11244,PJA1
A_23_P112452,GGTA1P
A_23_P112470,CCL21
A_23_P112478,NUDT2
A_23_P112481,AQP3
A_23_P112482,AQP3
A_23_P112512,SLC25A51P1///SLC25A52///SLC25A51///SLC25A51P2
A_23_P112531,FAM102A
A_23_P112548,HDHD3
A_23_P112554,COL15A1
A_23_P11256,MAGEE2
A_23_P112564,KCND2
A_23_P112596,ADK
A_23_P1126,LEPROT
A_23_P112602,TRIM62
A_23_P112613,PSMD12
A_23_P11262,F8A1///F8A2///F8A3
A_23_P112634,SMIM14
A_23_P112646,ABO
A_23_P112652,CNOT10
A_23_P112666,FOXE3
A_23_P112673,ZWILCH
A_23_P112698,PNMA2
A_23_P112726,SCN9A
A_23_P112774,PTP4A3
A_23_P11279,ALG13
A_23_P112798,CRIP2
A_23_P112801,CHP1
A_23_P112820,S1PR3
A_23_P112825,LCMT1
A_23_P112846,MTHFD2L
A_23_P112859,CST1
A_23_P11286,HNRNPH2
A_23_P112874,GPC5
A_23_P112883,NRBP2
A_23_P112916,ADAMTS17
A_23_P112921,STARD5
A_23_P11295,MTCP1///CMC4
A_23_P112950,ATF7IP
A_23_P113005,EFNA1
